country,description,designation,points,price,province,region_1,region_2,variety,winery
Spain,"Talk about a ripped, structured wine that could use more rest. This pumps out minerally blackberry and coconut aromas along with raw, inky intensity. The wine's texture is defined by a strong tannic backbone, while flavors of burnt toast, bacon, licorice and black fruits finish with graphite and energy. Drink from 2015–2023.",Edición Limitada,93,69.0,Northern Spain,Rioja,,Tempranillo,Marqués de Elciego
US,"This captivating wine treads the line between Rhône and Bordeaux. A splash of Cabernet, though just a fraction of the blend, stands out. The wine has depth and persistence, and the mix of grapes works well, showing brambly red fruits, like a Zin, spice and pepper, like Syrah, and some herbal and leafy tobacco in the finish. Complex, unique and quite appealing.",Vixen Red Wine,91,45.0,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Sinclair Estate Vineyards
US,"The Legacy bottling is sourced from 20-year old vines from the estate vineyard. Elegant and tart, this complex wine brings bright flavors of raspberry into focus with hints of biscuit, vanilla and milk chocolate. After being open a full 24 hours, it gained further complexity and fleshed out nicely.",Winderlea Legacy,92,75.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Winderlea
France,"Now owned by Guy Saget of Pouilly-sur-Loire, Balland-Chapuis is an historic name in Sancerre. This is typical of their classic production, fresh, straightforward, with fine, fresh citrus and gooseberry fruits and a fine, ripe structure. Imported by Serge Dore Selections.",Le Chatillet,87,15.0,Loire Valley,Sancerre,,Sauvignon Blanc,Joseph Balland-Chapuis
US,"Soft, ripe and dry, this wine, with a little Merlot and Cab Franc, is largely from Beckstoffer's Tokalon Vineyard, with a dollop from the winery's Spring Mountain estate. The wine is complex, young and comes together harmoniously, but needs some time to develop. Best from 2008, and should hold well for many years beyond.",Vineyard Select,93,80.0,California,Napa Valley,Napa,Cabernet Sauvignon,Juslyn Vineyards
US,"Everyday Chard, dry and balanced, with crisp acidity, some creaminess and a touch of new oak barrel to the peaches and citrus. Could be richer and longer in flavor, though.",,83,14.0,California,Suisun Valley,North Coast,Chardonnay,Ledgewood Creek
Italy,"This thick, luscious and opulent Trebbiano d'Abruzzo shows the best of white wine making in central Italy. There's complexity and balance here all backed by beautifully intense aromas of stone fruit, toasted almond and exotic fruit.",Marina Cvetic',91,60.0,Central Italy,Trebbiano d'Abruzzo,,Trebbiano,Masciarelli
US,"An extremely tannic and tough wine that numbs the palate despite polished plum, blackberry and dry chocolate flavors. Oak adds vanilla, smoke and a richly creamy texture. Will it age? The compact berry-cherry flavors suggest yes. Try again in 10 years.",Chabot Vineyard,91,80.0,California,St. Helena,Napa,Cabernet Sauvignon,Beringer
US,"Forward and ripe in fig, citrus and tropical fruit flavors, but with a good grip of acidity. It's a little sweet on the finish.",,84,14.0,California,Santa Barbara County,Central Coast,Pinot Grigio,Mandolina
Italy,"Mammolo is 100% Merlot bursting with red-fruit intensity and deep, penetrating layers of mature cherry and exotic spice. The wine is chewy and rich, and offers a long, fruit-driven finish.",Mammolo,90,58.0,Tuscany,Toscana,,Merlot,Cennatoio
US,"Lusty, full-bodied, powerful, classic Sonoma Zinfandel. Swamps the palate with complex flavors of wild forest berries, red currants, licorice, beef jerky, cola, dusty Indian spice and cedar flavors, wrapped into firm tannins. Really textbook Zin, dry, lively and distinctive. Drink now-2013.",Karma Zin Rue Vineyard Old Vine,91,33.0,California,Russian River Valley,Sonoma,Zinfandel,Carol Shelton
New Zealand,"A distinctive wine that features prominent aromas of sweet red peppers allied to round passion-fruit flavors. Seems a bit heavy on the palate, and doesn't finish as crisply as you'd expect from an N.Z. Sauvignon Blanc.",,84,17.0,Marlborough,,,Sauvignon Blanc,Lynskeys Wairau Peaks
Italy,"This luscious dessert wine represents an 80-20 blend of Nasco and Vermentino and is redolent of honey, dried apricot and almond paste. The wine boasts a luminous golden color, good crispness and enduring sweetness.",Assoluto,91,,Sicily & Sardinia,Isola dei Nuraghi,,White Blend,Pala
France,"A smooth wine, the tannins suspended within a velvet texture, resulting in an opulent, rich feel. This is very intense, with medicinal and dark plum skin flavors. Powerful, solid, for aging.",Cuvée Ambroise de l'Her,91,18.0,Southwest France,Cahors,,Malbec-Merlot,Château Nozières
France,"Smooth and creamy, this is a soft, ripe sparkling wine, its acidity at just the right level of crispness. A round the core of acidity, green plum and grapefruit flavors give freshness and some richness. A great food sparkler.",Brut,88,,Loire Valley,Crémant de Loire,,White Blend,Langlois-Chateau
Portugal,"This wine feels big and burly, its tannins powering through the fruit. It has a strong structure, firm black plums, the acidity giving a lift to the weight of dark fruits. It needs aging, over the next 4–5 years.",Tinto,91,,Lisboa,,,Portuguese Red,Quinta de Chocapalha
US,"A bit rough, but once you factor the price in, this is a decent buy. The balanced ripe blackberry flavors will elevate a hamburger.",,85,14.0,California,Napa Valley,Napa,Merlot,Quail Ridge
Germany,"Starts off with beautiful scents of minerals, dried spices and a hint of peach, but not quite as attractive on the palate, where it seems heavy at times despite some unreleased CO2. Then it turns tangy-tart on the finish. This youthful wine comes across as a bit disjointed; hopefully, that will improve over the next few months in bottle and this rating will look conservative.",Trocken QbA,85,16.0,Pfalz,,,Riesling,Geh. Rat Dr. von Bassermann-Jordan
Italy,"Light and garden fresh, with apple-based aromas. Not excessively expressive, but still full of chunky green apple, citrus and honeydew melon flavors. Cleansing, with a sorbet quality. Off-dry but not sugary sweet. Shows decent style and precision.",Sergio Extra Dry Spumante,88,18.0,Veneto,Prosecco di Valdobbiadene,,Prosecco,Mionetto
Chile,"Talk about a magnetic opening; this delectable wine gushes peach and apricot along with honeyed apple and mulled cider flavors. It's definitely a spicy little wine, but it's not the least bit heavy and the mouthfeel is great. Captures the European style of late harvest dessert wines.",Late Harvest Botrytised Grapes,90,25.0,Curicó Valley,,,Gewürztraminer,Montes
Italy,"This estate makes both a Superiore and a non-Superiore expression of ripasso. The Superiore spends more time in oak and offers great intensity with layers of ripe fruit, spice, toast and soft chocolate fudge. Imported by Omniwines Distribution.",Torre del Falasco,89,35.0,Veneto,Valpolicella Superiore Ripasso,,"Corvina, Rondinella, Molinara",Cantina Sociale della Valpantena
Italy,"Villa Borghetti ripasso offers fresh aromas of cherry, currants and blueberries. The wine is focused on easy, fresh fruit aromas and offers smooth, slightly sweet flavors on the finish. Imported by OWS.",Villa Borghetti,86,20.0,Veneto,Valpolicella Superiore Ripasso,,"Corvina, Rondinella, Molinara",Pasqua
US,"A brisk, brusque, tannic wine whose rusticity calls for easy fare, like backyard barbecue or even fast-food burgers. It's dry and full-bodied, a country-style blend with deep flavors of blackberries and tobacco. The price is fair.",Sustainable White,84,11.0,California,Mendocino County,Mendocino/Lake Counties,Red Blend,Parducci
US,"Not much going on fruit-wise in this lean, but clean, brisk wine. Oak stars, with charry caramel and vanilla overpowering the modest peach and apricot flavors.",Reserve,83,28.0,California,Sonoma County,Sonoma,Chardonnay,Mazzocco
Spain,"Lean, dry aromas of cherry skins and citrus lead to a competent but basic palate of raspberry and cherry flavors. Everything about this wine screams “regular,” from the tart red fruit core to the tough but fresh mouthfeel to the edgy finish.",Old Vines Crianza,84,13.0,Central Spain,Valdepeñas,,Tempranillo,Bodegas Navarro López
Spain,"Dark and crusty aromas of black fruit, wild black truffles, coconut and lemon peel are pure Priorato, while the tight, tannic palate provokes salivation as it delivers firm black cherry, dark plum and citrusy (lemon) flavors. Finishes with coffee and coconut. The definition of a harmonious Priorat red. Drink from 2011 through 2016.",Mas Sinén Negre,91,62.0,Catalonia,Priorat,,Red Blend,Celler Burgos-Porta
US,"Tastes dry and raw in green tannins and acids, with the barest suggestion of cherries and rosehip tea. In its favor is the fine, silky texture and low alcohol.",,83,9.0,California,California,California Other,Pinot Noir,Lucky Star
US,"Dark and sappy, with earth-driven complexity, this includes as many as 15 different clones planted on the far western edge of the AVA. Savory flavors bring black cherry, cola, smoke, and an underpinning of earth and black tea.",Gregory Ranch,92,62.0,Oregon,Willamette Valley,,Pinot Noir,Bergström
US,"Tastes a bit tired, with apricot and pineapple flavors that are losing their fruity flesh, showing herbal bones. Dry and crisp, it's unlikely to improve with further age.",Les Pierres,84,41.0,California,Sonoma Coast,Sonoma,Chardonnay,Sonoma-Cutrer
US,"A fine, nice Merlot. It's dry and balanced and even elegant, with interesting flavors of cherries, herbs and cedar that finish spicy and silky.",,87,9.0,California,California,California Other,Merlot,Bogle
US,"From the estate vineyard, a windblown hilltop in the western end of the valley, this lean, yet creamy SB rewards your attention with subtle, clean, nicely crafted flavors. Pineapple, pink grapefruit and sliced almond can be found, with plenty of natural acid (no malolactic) and some cracker flavors that come from the land, not from barrels (none were used).",,87,24.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sauvignon Blanc,Woodward Canyon
Italy,"Bold and inky, this wine is made from the little-known Casavecchia grape. It opens with notes of bitter chocolate, cherry, blackberry, cured meat and savory crushed peppercorn. There's a slight note of sourness on the finish that is balanced by hints of crushed granite and smoky campfire.",Centomoggia,90,53.0,Southern Italy,Terre del Volturno,,Casavecchia,Terre del Principe
US,"Although this Zinfandel, Carignane and Petite Sirah blend is rustic, the price makes it a good value in a dry, full-bodied red wine. With its strong tannins and flavors of currants and black pepper, it will be nice with Mexican food.",Reds,85,10.0,California,Lodi,Central Valley,Red Blend,Laurel Glen
Italy,This vibrant Pinot Grigio opens with aromas of white flowers and white tree fruit. The round palate offers mature pear and green apple alongside bright acidity but the structure doesn't fully support the evident alcohol.,,89,30.0,Northeastern Italy,Collio,,Pinot Grigio,Mario Schiopetto
US,"From the southern part of the valley, near Sebastopol, comes this young, juicy, crisp Pinot. It's marked by fruit. The freshly crushed flavors of ripe raspberries and cherries are enormously attractive, accented with toasty oak and Asian spices. But the wine has a youthful, acidic tightness that suggests aging. Best now, with decanting, and for six years.",Jennifer's,92,55.0,California,Russian River Valley,Sonoma,Pinot Noir,Hartford Court
France,"Onion skin color, showing signs of aromatic toast character, this is a rich, round wine from the hot 2003 vintage. Raspberry fruits are rich and full, lifted by acidity. A great success.",Grand Vintage Rosé Brut,92,,Champagne,Champagne,,Champagne Blend,Moët & Chandon
Italy,"This easy blend of Chardonnay, Sauvignon and Trebbiano gets its name from the ancient Roman city of Satricum. The wine opens with a luminous golden color and bright aromas of stone fruit, melon and almond skin.",Satrico,87,16.0,Central Italy,Lazio,,White Blend,Casale del Giglio
Chile,"Dense, powerful and dark on the nose, then tight, concentrated and narrow on the palate, with pulsing berry and coffee flavors along with restrictive tannins. The finish is tight and lemony, with citric acidity forcing mild tartness into the picture. Best if you like zestier, more austere Syrahs.",Reserva Especial,89,22.0,Limarí Valley,,,Syrah,Maycas del Limari
US,"The grapes for this wonderful Sauvignon Blanc come from the cooler Oak Knoll region. They were partially barrel-fermented, which gives a creamy, smoky pie crust sweetness to the citrus, tropical fruit, pear and green apple flavors. Production was only 750 cases.",Limited Release,91,24.0,California,Napa Valley,Napa,Sauvignon Blanc,Artesa
Spain,"Smells earthy, murky and a little raisiny, and then in the mouth it scratches with grating tannins in support of floral cherry and tart red fruit flavors. Finishes sort of hollow and sour; standard issue at best.",Viñas Viejas,83,18.0,Northern Spain,Ribera del Duero,,Tempranillo,Milcampos
US,"Soft, round and textured, this is a minty Zinfandel with a pronounced jolt of smoke on the long finish.","Romanzo Moon, Shoup Vineyard",85,14.0,California,Lodi,Central Valley,Zinfandel,Lapis Luna
US,"The structure is elegant, with good acidity and tannins, and while this wine is a little lacking in fruit, it's a nice, dry, clean Merlot, easy to drink. Classic inexpensive California red wine, suitable for any occasion you want a full-bodied red.",,85,12.0,California,Napa Valley,Napa,Merlot,H & G
Italy,"Dark and brooding, this opens with aromas of French oak, espresso, clove and mature blackberry. On the extracted palate, licorice, vanilla and sweet baking spice accent a core of baked plum while bracing, fine-grained tannins provide the framework.",Marasco,90,88.0,Piedmont,Barolo,,Nebbiolo,Franco M. Martinetti
Spain,"A little aggressive out of the chute, with a nose that's sort of raspy. The fruit on the palate is tangy and tastes like early picked nectarines with a lemon twist. Crisp and short, but very clean and focused.",Cordon Rosado Brut,86,12.0,Catalonia,Cava,,Sparkling Blend,Freixenet
US,"Dry and papery, this not-quite-settled wine shows threads of fruit (green apple, pineapple), toasted cracker (odd in a Riesling) and plenty of sharp acidity. Time may be the missing ingredient here, but it's difficult to assess at the moment.",,86,18.0,Oregon,Willamette Valley,Willamette Valley,Riesling,Amity Vineyards
Chile,"Chardonnay from a hot valley in a hot vintage equals something like this. Orange peel and oak aromas, a pulpy palate and warm flavors of orange and grapefruit.",Crucero Reserva,83,13.0,Colchagua Valley,,,Chardonnay,Siegel
US,"A whiff of leather introduces a wine with a strong savory character; the leather and earth flavors start to bury the sweet berry fruit, and the tannins take on a chalky texture.",Kingpin,89,62.0,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,Sparkman
Italy,"Aromas of underbrush, scorched earth and dark baking spice lead the way on this firmly structured wine. The tense, full-bodied palate delivers dried black cherry, licorice, leather and tobacco supported by bracing, fine-grained tannins. Drink 2019–2029.",Ornato,91,115.0,Piedmont,Barolo,,Nebbiolo,Pio Cesare
Italy,"From a special vineyard selection, this gorgeous Friulano has the nature heft and creaminess to pair with risotto and scampi or spaghetti with clams. The elegant aromas recall honeysuckle, peach and white melon and the wine leaves a very clean and lasting impression.",La Vila,90,28.0,Northeastern Italy,Friuli Isonzo,,Friulano,Lis Neris
US,"Jammy and sweet in blackberries, cherries and blueberries, with a vanilla and caramel richness. A bit simple, but fans of fruity wines will like it.",,84,18.0,California,California,California Other,Cabernet Sauvignon,Arrow Creek
Italy,"Dark and inky in appearance, this blend of Nero d'Avola, Merlot and Syrah offers nuanced bright fruit, with softness and an obvious touch of sweetness on the finish.",Goose Bump,85,10.0,Sicily & Sardinia,Sicilia,,Red Blend,Mezzacorona
US,"Vegetal, with aromas of canned asparagus. Drinks dry and herbaceous. Tasted twice.",,82,33.0,California,Oakville,Napa,Merlot,Oakville Ranch
US,"Tight and hard in tannins now, with a dusty astringency, especially on the finish. But there's a considerable heart of blackberries, currants and dark chocolate, accented with complex notes of violets, leather, dried herbs and peppery spices. Not ready now, but should easily negotiate the next 4–6 years.",Stagecoach Vineyard,93,53.0,California,Napa Valley,Napa,Syrah,Palmeri
Italy,"Rich and opulent, round and soft, this ripasso is redolent of cherry, dried currants, chocolate and exotic spice. The wine is round and fleshy with chewy berry flavors on the close. Imported by North Berkeley Imports.",,88,25.0,Veneto,Valpolicella Superiore Ripasso,,"Corvina, Rondinella, Molinara",Novaia
US,"This is one of those “generic” red wines that smells and tastes of berries, with an earthy streak and a kiss of oak. It's a little soft, yet dry enough to satisfy most red wine drinkers and not bad for the price.",Coastal,83,12.0,California,California,California Other,Merlot,Beaulieu Vineyard
US,"Uvaggio is making a serious case for Lodi Vermentino. This bottling is compelling: savory with herb and green olive notes, and yet freshly fruity and delicate, well integrated and plenty acidic to stand up to a wide range of food, even given its modest 11% alcohol level. A stunner that'll keep you thinking, and asking for more.",,93,14.0,California,Lodi,Central Valley,Vermentino,Uvaggio
US,"Solid winemaking delivers a fresh, clean Syrah loaded with blackberry and black cherry fruit. The midpalate is elevated by a streak of tart, citrus peel flavors, then leads into the mother lode of barrel toast, chocolate and roasted coffee.",,90,28.0,Washington,Washington,Washington Other,Syrah,Coeur d'Alene
France,"An impressively structured wine, full of concentrated fruit and tannins. It shows ripe plums, layered with chocolate, spice and a hint of pepper, finished with wood. It needs aging 3–4 years.",Vieilles Vignes,90,27.0,Loire Valley,Bourgueil,,Cabernet Franc,Château de Minière
Italy,"This aged wine shows tertiary aromas of dried fruit, cured meat, bresaola and toasted almond. The wine is garnet in color with browning hues. Drink immediately.",Torreforte,87,,Sicily & Sardinia,Sicilia,,Nero d'Avola,Tenuta Barone Nicolò La Lumia
France,"Somewhat hard edged, this is as dry as possible, hinting at toast as well as lentils and quince. The acidity is balanced, but the wine shies away from the pleasure factor.",Cuvée S,85,18.0,Provence,Côtes de Provence,,Rosé,Domaine de Souviou
Italy,"Packed with jammy fruit and sweet raspberry flavors, this easy rosé would make a great partner to cocktail appetizers. The finish shows flavors of wild berry and bitter almond.",,84,10.0,Central Italy,Colline Teatine,,Rosé,Masciarelli
US,"Just one barrel was made of this complex, nicely sculpted, 100% Malbec. It's from fourth leaf fruit, showing bright and fresh raspberry flavors, compact herbs, and streaks of tar and earth. A floral note (clover?) comes in as the wine breathes open. Still young and slightly reduced, it will reward decanting.",Frazier Bluff Vineyard,93,32.0,Washington,Walla Walla Valley (WA),Columbia Valley,Malbec,Bunchgrass
France,"Powerful flavors show strongly through the youthful spice and fruit. This is a rich wine, concentrated with a dry side that contrasts with the tropical ripe fruits. It needs aging, so don't drink before 2017.",Steingrubler Grand Cru,92,42.0,Alsace,Alsace,,Gewürztraminer,Domaine Barmès-Buecher
US,"Estate grown and skillfully made, blended with 9% Cabernet Franc, this captivates with its sophistication and elegance. The Cabernet Franc brings some floral highlights to the nose, while the sturdy Merlot—dressed in accents of incense and sandalwood, cocoa and cinnamon—powers its way through a marvelously long finish.",Seven Hills Vineyard,93,30.0,Washington,Walla Walla Valley (WA),Columbia Valley,Merlot,Seven Hills
